DEBUG:root:{ Tick:4, BR:0, AC:40, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:7, BR:0, AC:40, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:9, BR:0, AC:40, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:12, BR:0, AC:40, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:15, BR:0, AC:40, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:19, BR:0, AC:5, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:22, BR:0, AC:5, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:24, BR:0, AC:5, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:27, BR:0, AC:5, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:30, BR:0, AC:5, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:34, BR:0, AC:22, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:37, BR:0, AC:22, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:39, BR:0, AC:22, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:42, BR:0, AC:22, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:45, BR:0, AC:22, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
