['LD', 'SECOND']
['ST', 'TEMP']
['ADD', 'FIRST']
['ST', 'SECOND']
['DIV', '#2']
['MUL', '#2']
['CMP', 'SECOND']
['JNZ', '.GO']
['LD', 'RESULT']
['ADD', 'SECOND']
['ST', 'RESULT']
['LD', 'TEMP']
['ST', 'FIRST']
['LD', 'SECOND']
['CMP', 'LIMIT']
['JS', '.LOOP']
['LD', 'RESULT']
['SUB', 'SECOND']
['HLT']
DEBUG:root:{ Tick:5, BR:0, AC:2, SP:256, PS:0, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:8, BR:0, AC:2, SP:256, PS:0, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:14, BR:0, AC:3, SP:256, PS:0, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:17, BR:0, AC:3, SP:256, PS:0, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:21, BR:0, AC:1, SP:256, PS:0, IP:5, AR:5 }  DIV #2
DEBUG:root:{ Tick:25, BR:0, AC:2, SP:256, PS:0, IP:6, AR:6 }  MUL #2
DEBUG:root:{ Tick:30, BR:0, AC:2, SP:256, PS:1, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:33, BR:0, AC:2, SP:256, PS:1, IP:11, AR:11 }  JNZ .GO
DEBUG:root:{ Tick:38, BR:0, AC:2, SP:256, PS:1, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:41, BR:0, AC:2, SP:256, PS:1, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:46, BR:0, AC:3, SP:256, PS:1, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:51, BR:0, AC:3, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:54, BR:0, AC:3, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:59, BR:0, AC:3, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:62, BR:0, AC:3, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:68, BR:0, AC:5, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:71, BR:0, AC:5, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:75, BR:0, AC:2, SP:256, PS:1, IP:5, AR:5 }  DIV #2
DEBUG:root:{ Tick:79, BR:0, AC:4, SP:256, PS:1, IP:6, AR:6 }  MUL #2
DEBUG:root:{ Tick:84, BR:0, AC:4, SP:256, PS:1, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:87, BR:0, AC:4, SP:256, PS:1, IP:11, AR:11 }  JNZ .GO
DEBUG:root:{ Tick:92, BR:0, AC:3, SP:256, PS:1, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:95, BR:0, AC:3, SP:256, PS:1, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:100, BR:0, AC:5, SP:256, PS:1, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:105, BR:0, AC:5, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:108, BR:0, AC:5, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:113, BR:0, AC:5, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:116, BR:0, AC:5, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:122, BR:0, AC:8, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:125, BR:0, AC:8, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:129, BR:0, AC:4, SP:256, PS:1, IP:5, AR:5 }  DIV #2
DEBUG:root:{ Tick:133, BR:0, AC:8, SP:256, PS:1, IP:6, AR:6 }  MUL #2
DEBUG:root:{ Tick:138, BR:0, AC:8, SP:256, PS:2, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:140, BR:0, AC:8, SP:256, PS:2, IP:8, AR:8 }  JNZ .GO
DEBUG:root:{ Tick:145, BR:0, AC:2, SP:256, PS:2, IP:9, AR:9 }  LD RESULT
DEBUG:root:{ Tick:151, BR:0, AC:10, SP:256, PS:2, IP:10, AR:10 }  ADD SECOND
DEBUG:root:{ Tick:154, BR:0, AC:10, SP:256, PS:2, IP:11, AR:11 }  ST RESULT
DEBUG:root:{ Tick:159, BR:0, AC:5, SP:256, PS:2, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:162, BR:0, AC:5, SP:256, PS:2, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:167, BR:0, AC:8, SP:256, PS:2, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:172, BR:0, AC:8, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:175, BR:0, AC:8, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:180, BR:0, AC:8, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:183, BR:0, AC:8, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:189, BR:0, AC:13, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:192, BR:0, AC:13, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:196, BR:0, AC:6, SP:256, PS:1, IP:5, AR:5 }  DIV #2
DEBUG:root:{ Tick:200, BR:0, AC:12, SP:256, PS:1, IP:6, AR:6 }  MUL #2
DEBUG:root:{ Tick:205, BR:0, AC:12, SP:256, PS:1, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:208, BR:0, AC:12, SP:256, PS:1, IP:11, AR:11 }  JNZ .GO
DEBUG:root:{ Tick:213, BR:0, AC:8, SP:256, PS:1, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:216, BR:0, AC:8, SP:256, PS:1, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:221, BR:0, AC:13, SP:256, PS:1, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:226, BR:0, AC:13, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:229, BR:0, AC:13, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:234, BR:0, AC:13, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:237, BR:0, AC:13, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:243, BR:0, AC:21, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:246, BR:0, AC:21, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:250, BR:0, AC:10, SP:256, PS:1, IP:5, AR:5 }  DIV #2
